Year,Months,Location,Personal Injury Accidents,Serious Accidents (Material Damage),Other Accidents (Intoxication),Other Accidents (Material Damage),Total Accidents
2017,June,Inside built-up areas,21758.0,3245.0,1081.0,141837.0,167921.0
2017,June,Outside built-up areas (excl. motorways/freeways),7373.0,1325.0,146.0,34508.0,43352.0
2017,June,On motorways/freeways,1867.0,939.0,65.0,12490.0,15361.0
2017,June,Total,30998.0,5509.0,1292.0,188835.0,226634.0
2017,July,Inside built-up areas,20212.0,3364.0,1155.0,137895.0,162626.0
2017,July,Outside built-up areas (excl. motorways/freeways),7450.0,1508.0,156.0,33947.0,43061.0
2017,July,On motorways/freeways,1984.0,1116.0,61.0,13130.0,16291.0
2017,July,Total,29646.0,5988.0,1372.0,184972.0,221978.0
2017,August,Inside built-up areas,19484.0,3098.0,1173.0,132409.0,156164.0
2017,August,Outside built-up areas (excl. motorways/freeways),7211.0,1352.0,169.0,32957.0,41689.0
2017,August,On motorways/freeways,1856.0,916.0,78.0,12603.0,15453.0
2017,August,Total,28551.0,5366.0,1420.0,177969.0,213306.0
2017,September,Inside built-up areas,18878.0,3451.0,1117.0,140795.0,164241.0
2017,September,Outside built-up areas (excl. motorways/freeways),6429.0,1510.0,159.0,35029.0,43127.0
2017,September,On motorways/freeways,1908.0,979.0,78.0,12687.0,15652.0
2017,September,Total,27215.0,5940.0,1354.0,188511.0,223020.0
2017,October,Inside built-up areas,18557.0,3858.0,1120.0,143719.0,167254.0
2017,October,Outside built-up areas (excl. motorways/freeways),6658.0,1669.0,199.0,40165.0,48691.0
2017,October,On motorways/freeways,1851.0,954.0,56.0,13035.0,15896.0
2017,October,Total,27066.0,6481.0,1375.0,196919.0,231841.0
2017,November,Inside built-up areas,17149.0,4058.0,1100.0,148891.0,171198.0
2017,November,Outside built-up areas (excl. motorways/freeways),5812.0,1912.0,200.0,43304.0,51228.0
2017,November,On motorways/freeways,1744.0,1067.0,63.0,12866.0,15740.0
2017,November,Total,24705.0,7037.0,1363.0,205061.0,238166.0
2017,December,Inside built-up areas,14307.0,4377.0,1167.0,144807.0,164658.0
2017,December,Outside built-up areas (excl. motorways/freeways),5576.0,2434.0,213.0,40552.0,48775.0
2017,December,On motorways/freeways,1680.0,1369.0,76.0,12361.0,15486.0
2017,December,Total,21563.0,8180.0,1456.0,197720.0,228919.0
2018,January,Inside built-up areas,13756.0,3577.0,924.0,132519.0,150776.0
2018,January,Outside built-up areas (excl. motorways/freeways),5138.0,1881.0,163.0,37136.0,44318.0
2018,January,On motorways/freeways,1587.0,1059.0,67.0,10882.0,13595.0
2018,January,Total,20481.0,6517.0,1154.0,180537.0,208689.0
2018,February,Inside built-up areas,11563.0,3471.0,854.0,124880.0,140768.0
2018,February,Outside built-up areas (excl. motorways/freeways),4622.0,1805.0,139.0,30486.0,37052.0
2018,February,On motorways/freeways,1452.0,824.0,53.0,10251.0,12580.0
2018,February,Total,17637.0,6100.0,1046.0,165617.0,190400.0
2018,March,Inside built-up areas,12797.0,3639.0,995.0,141809.0,159240.0
2018,March,Outside built-up areas (excl. motorways/freeways),5055.0,1857.0,66.0,33206.0,40305.0
2018,March,On motorways/freeways,1577.0,985.0,79.0,11305.0,13933.0
2018,March,Total,19429.0,6481.0,1248.0,186320.0,213478.0
2018,April,Inside built-up areas,18901.0,3261.0,1295.0,144892.0,168101.0
