,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
159,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,35157,2021,2021-12-01,Other Material Damage
160,On motorways/freeways,Other accidents involving intoxication,52,2012,2012-01-01,Intoxication
161,Inside built-up areas,Total,132684,2013,2013-01-01,Total
162,Total,Total,203762,2013,2013-09-01,Total
163,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,166,2016,2016-01-01,Intoxication
164,Inside built-up areas,Total,166446,2016,2016-09-01,Total
165,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3147,2018,2018-05-01,Material Damage
166,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,166,2018,2018-05-01,Intoxication
167,Total,Personal injury accidents,28272,2012,2012-09-01,Personal Injury
168,Total,Personal injury accidents,26512,2015,2015-10-01,Personal Injury
169,On motorways/freeways,Other accidents involving intoxication,42,2014,2014-05-01,Intoxication
170,Total,Total,214026,2015,2015-06-01,Total
171,Total,Other accidents involving intoxication,1345,2022,2022-08-01,Intoxication
172,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7146,2013,2013-06-01,Personal Injury
173,Inside built-up areas,Total,138507,2016,2016-02-01,Total
174,Total,Other accidents involving intoxication,1268,2013,2013-06-01,Intoxication
175,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3377,2014,2014-04-01,Material Damage
176,Total,Personal injury accidents,26308,2023,2023-08-01,Personal Injury
177,Inside built-up areas,Personal injury accidents,12220,2013,2013-03-01,Personal Injury
178,Inside built-up areas,Other accidents involving intoxication,1170,2015,2015-08-01,Intoxication
179,Total,Other accidents involving intoxication,1307,2014,2014-07-01,Intoxication
180,Inside built-up areas,Total,154767,2019,2019-01-01,Total
181,On motorways/freeways,Other accidents involving material damage,11409,2021,2021-09-01,Other Material Damage
182,Inside built-up areas,Total,102027,2020,2020-04-01,Total
183,Inside built-up areas,Personal injury accidents,19890,2023,2023-07-01,Personal Injury
184,Inside built-up areas,Other accidents involving intoxication,1003,2013,2013-04-01,Intoxication
185,Total,Other accidents involving intoxication,1354,2017,2017-09-01,Intoxication
