,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
795,Inside built-up areas,Total,150985,2012,2012-11-01,Total
796,Total,Other accidents involving material damage,158271,2013,2013-08-01,Other Material Damage
797,On motorways/freeways,Other accidents involving intoxication,0,2024,2024-12-01,Intoxication
798,Total,Personal injury accidents,18103,2024,2024-01-01,Personal Injury
799,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,31750,2020,2020-12-01,Other Material Damage
800,Outside built-up areas (excl. motorways/freeways),Total,42282,2024,2024-05-01,Total
801,Outside built-up areas (excl. motorways/freeways),Total,39242,2020,2020-08-01,Total
802,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5367,2019,2019-12-01,Personal Injury
803,On motorways/freeways,Other accidents involving intoxication,61,2017,2017-07-01,Intoxication
804,On motorways/freeways,Other accidents involving material damage,11415,2022,2022-09-01,Other Material Damage
805,Total,Total,216128,2012,2012-10-01,Total
806,Total,Serious acc. invol. mat.damage in the nearer sense,7576,2011,2011-10-01,Material Damage
807,Inside built-up areas,Total,146614,2022,2022-03-01,Total
808,Inside built-up areas,Personal injury accidents,19584,2011,2011-08-01,Personal Injury
809,Inside built-up areas,Total,148295,2023,2023-08-01,Total
810,Total,Total,177557,2020,2020-05-01,Total
811,Total,Total,216685,2018,2018-12-01,Total
812,Outside built-up areas (excl. motorways/freeways),Total,42588,2018,2018-08-01,Total
813,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3846,2012,2012-09-01,Material Damage
814,Total,Personal injury accidents,16240,2013,2013-02-01,Personal Injury
815,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,189,2022,2022-04-01,Intoxication
816,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1893,2012,2012-11-01,Material Damage
817,Inside built-up areas,Total,159758,2023,2023-10-01,Total
818,Inside built-up areas,Personal injury accidents,18809,2015,2015-05-01,Personal Injury
819,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3743,2012,2012-05-01,Material Damage
820,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7282,2011,2011-10-01,Personal Injury
821,Inside built-up areas,Personal injury accidents,19173,2015,2015-09-01,Personal Injury
822,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3366,2016,2016-06-01,Material Damage
823,Inside built-up areas,Personal injury accidents,18853,2011,2011-04-01,Personal Injury
824,On motorways/freeways,Other accidents involving material damage,10006,2020,2020-08-01,Other Material Damage
825,Total,Other accidents involving material damage,181615,2015,2015-07-01,Other Material Damage
826,On motorways/freeways,Total,13665,2024,2024-06-01,Total
827,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,165,2019,2019-06-01,Intoxication
828,On motorways/freeways,Personal injury accidents,1559,2019,2019-12-01,Personal Injury
829,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3403,2022,2022-11-01,Material Damage
830,Inside built-up areas,Personal injury accidents,16488,2022,2022-11-01,Personal Injury
831,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,814,2018,2018-05-01,Material Damage
832,Inside built-up areas,Personal injury accidents,11560,2021,2021-04-01,Personal Injury
833,Total,Other accidents involving intoxication,1331,2016,2016-07-01,Intoxication
834,Total,Personal injury accidents,30299,2021,2021-06-01,Personal Injury
835,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,181,2012,2012-10-01,Intoxication
836,On motorways/freeways,Other accidents involving intoxication,45,2013,2013-02-01,Intoxication
837,Total,Other accidents involving intoxication,1241,2022,2022-04-01,Intoxication
838,On motorways/freeways,Personal injury accidents,1908,2017,2017-09-01,Personal Injury
839,Total,Serious acc. invol. mat.damage in the nearer sense,7900,2013,2013-01-01,Material Damage
840,On motorways/freeways,Total,13559,2016,2016-01-01,Total
841,Inside built-up areas,Total,160431,2022,2022-05-01,Total
842,Total,Other accidents involving material damage,190877,2023,2023-05-01,Other Material Damage
843,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1334,2016,2016-05-01,Material Damage
844,Total,Other accidents involving intoxication,1053,2016,2016-02-01,Intoxication
845,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4648,2024,2024-11-01,Personal Injury
846,On motorways/freeways,Personal injury accidents,1578,2019,2019-01-01,Personal Injury
847,Total,Other accidents involving intoxication,1339,2023,2023-11-01,Intoxication
848,Outside built-up areas (excl. motorways/freeways),Total,34839,2023,2023-02-01,Total
849,Inside built-up areas,Other accidents involving intoxication,1159,2018,2018-12-01,Intoxication
850,Total,Other accidents involving material damage,205061,2017,2017-11-01,Other Material Damage
851,Total,Total,202230,2021,2021-12-01,Total
852,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1461,2015,2015-09-01,Material Damage
853,Inside built-up areas,Other accidents involving material damage,132627,2022,2022-09-01,Other Material Damage
854,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1144,2022,2022-08-01,Material Damage
855,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5226,2017,2017-01-01,Personal Injury
856,Total,Other accidents involving material damage,158149,2011,2011-08-01,Other Material Damage
857,Total,Total,176907,2022,2022-01-01,Total
858,On motorways/freeways,Personal injury accidents,1436,2024,2024-03-01,Personal Injury
859,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,139,2018,2018-02-01,Intoxication
860,Total,Personal injury accidents,19941,2019,2019-01-01,Personal Injury
861,Total,Other accidents involving intoxication,1167,2024,2024-03-01,Intoxication
862,Outside built-up areas (excl. motorways/freeways),Total,40560,2015,2015-04-01,Total
863,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1805,2018,2018-02-01,Material Damage
864,On motorways/freeways,Personal injury accidents,1788,2024,2024-08-01,Personal Injury
865,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7373,2017,2017-06-01,Personal Injury
866,On motorways/freeways,Other accidents involving intoxication,50,2013,2013-04-01,Intoxication
867,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1173,2023,2023-04-01,Material Damage
868,Total,Personal injury accidents,17641,2013,2013-01-01,Personal Injury
869,Total,Other accidents involving intoxication,1154,2018,2018-01-01,Intoxication
870,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,812,2018,2018-11-01,Material Damage
871,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4851,2022,2022-03-01,Personal Injury
872,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,169,2022,2022-08-01,Intoxication
873,Total,Other accidents involving intoxication,1314,2022,2022-09-01,Intoxication
874,Inside built-up areas,Total,165974,2019,2019-12-01,Total
875,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,965,2023,2023-07-01,Material Damage
876,Total,Other accidents involving material damage,171080,2013,2013-03-01,Other Material Damage
877,On motorways/freeways,Other accidents involving material damage,12306,2019,2019-04-01,Other Material Damage
878,Inside built-up areas,Other accidents involving intoxication,1137,2018,2018-10-01,Intoxication
879,On motorways/freeways,Personal injury accidents,1250,2011,2011-01-01,Personal Injury
880,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,784,2016,2016-08-01,Material Damage
881,Total,Total,229529,2018,2018-11-01,Total
882,Inside built-up areas,Other accidents involving intoxication,756,2020,2020-12-01,Intoxication
883,Inside built-up areas,Other accidents involving intoxication,1191,2012,2012-05-01,Intoxication
884,On motorways/freeways,Other accidents involving intoxication,41,2014,2014-04-01,Intoxication
885,Total,Total,202713,2023,2023-08-01,Total
886,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3457,2023,2023-12-01,Material Damage
887,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1306,2015,2015-04-01,Material Damage
888,On motorways/freeways,Personal injury accidents,1584,2017,2017-04-01,Personal Injury
889,Total,Other accidents involving intoxication,1196,2011,2011-01-01,Intoxication
890,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6704,2024,2024-05-01,Personal Injury
891,Outside built-up areas (excl. motorways/freeways),Total,36341,2014,2014-09-01,Total
892,Inside built-up areas,Personal injury accidents,20599,2016,2016-07-01,Personal Injury
893,Total,Personal injury accidents,30820,2018,2018-06-01,Personal Injury
894,Total,Other accidents involving material damage,141589,2020,2020-03-01,Other Material Damage
895,Inside built-up areas,Other accidents involving intoxication,1040,2014,2014-09-01,Intoxication
896,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3318,2023,2023-01-01,Material Damage
897,Total,Other accidents involving intoxication,1319,2015,2015-10-01,Intoxication
898,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,28602,2017,2017-02-01,Other Material Damage
899,Total,Other accidents involving intoxication,1427,2012,2012-09-01,Intoxication
900,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,177,2021,2021-08-01,Intoxication
901,On motorways/freeways,Personal injury accidents,1772,2019,2019-06-01,Personal Injury
902,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6657,2014,2014-08-01,Personal Injury
903,Inside built-up areas,Other accidents involving intoxication,1021,2013,2013-03-01,Intoxication
904,Inside built-up areas,Other accidents involving intoxication,1058,2020,2020-10-01,Intoxication
905,Inside built-up areas,Other accidents involving material damage,127053,2022,2022-03-01,Other Material Damage
906,Inside built-up areas,Other accidents involving material damage,124861,2012,2012-03-01,Other Material Damage
907,Total,Other accidents involving intoxication,1195,2014,2014-03-01,Intoxication
908,Inside built-up areas,Other accidents involving material damage,148891,2017,2017-11-01,Other Material Damage
909,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,166,2019,2019-08-01,Intoxication
910,Inside built-up areas,Personal injury accidents,20568,2012,2012-08-01,Personal Injury
911,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3759,2015,2015-12-01,Material Damage
912,On motorways/freeways,Other accidents involving material damage,7995,2011,2011-02-01,Other Material Damage
913,On motorways/freeways,Other accidents involving intoxication,56,2014,2014-02-01,Intoxication
914,Inside built-up areas,Personal injury accidents,16762,2014,2014-11-01,Personal Injury
915,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3650,2015,2015-01-01,Material Damage
916,Total,Serious acc. invol. mat.damage in the nearer sense,5200,2016,2016-08-01,Material Damage
917,Inside built-up areas,Other accidents involving intoxication,1009,2012,2012-03-01,Intoxication
918,Outside built-up areas (excl. motorways/freeways),Total,33018,2011,2011-02-01,Total
919,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3846,2013,2013-09-01,Material Damage
920,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1482,2023,2023-10-01,Material Damage
921,Total,Total,239452,2017,2017-05-01,Total
922,Total,Other accidents involving intoxication,1370,2018,2018-06-01,Intoxication
923,Inside built-up areas,Personal injury accidents,20025,2014,2014-05-01,Personal Injury
924,Total,Total,202481,2012,2012-07-01,Total
925,Total,Other accidents involving material damage,182493,2023,2023-06-01,Other Material Damage
926,Total,Personal injury accidents,16902,2022,2022-01-01,Personal Injury
927,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3506,2013,2013-04-01,Material Damage
928,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3095,2015,2015-06-01,Material Damage
929,Total,Other accidents involving material damage,196919,2017,2017-10-01,Other Material Damage
930,Total,Personal injury accidents,29237,2013,2013-08-01,Personal Injury
931,On motorways/freeways,Total,15021,2019,2019-08-01,Total
932,On motorways/freeways,Other accidents involving material damage,10781,2015,2015-05-01,Other Material Damage
933,Total,Serious acc. invol. mat.damage in the nearer sense,5648,2017,2017-03-01,Material Damage
934,Total,Personal injury accidents,23931,2017,2017-03-01,Personal Injury
935,On motorways/freeways,Other accidents involving material damage,12556,2016,2016-09-01,Other Material Damage
936,Inside built-up areas,Other accidents involving material damage,147980,2019,2019-05-01,Other Material Damage
937,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33099,2013,2013-03-01,Other Material Damage
938,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1396,2013,2013-07-01,Material Damage
939,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34193,2024,2024-05-01,Other Material Damage
940,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33085,2014,2014-05-01,Other Material Damage
941,On motorways/freeways,Personal injury accidents,1851,2017,2017-10-01,Personal Injury
942,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3261,2018,2018-04-01,Material Damage
943,On motorways/freeways,Personal injury accidents,1372,2022,2022-12-01,Personal Injury
944,Total,Other accidents involving intoxication,1318,2019,2019-09-01,Intoxication
945,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,119,2017,2017-02-01,Intoxication
946,On motorways/freeways,Total,15740,2017,2017-11-01,Total
947,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3900,2011,2011-07-01,Material Damage
948,On motorways/freeways,Personal injury accidents,1173,2022,2022-01-01,Personal Injury
949,On motorways/freeways,Total,14378,2011,2011-10-01,Total
950,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,207,2011,2011-12-01,Intoxication
951,Inside built-up areas,Other accidents involving intoxication,967,2021,2021-12-01,Intoxication
952,Outside built-up areas (excl. motorways/freeways),Total,0,2024,2024-12-01,Total
953,Total,Other accidents involving material damage,186199,2024,2024-11-01,Other Material Damage
954,On motorways/freeways,Total,11681,2011,2011-11-01,Total
955,Total,Personal injury accidents,23919,2014,2014-03-01,Personal Injury
956,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32211,2020,2020-02-01,Other Material Damage
957,On motorways/freeways,Total,13528,2022,2022-08-01,Total
958,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1599,2020,2020-01-01,Material Damage
959,Total,Other accidents involving material damage,163821,2013,2013-04-01,Other Material Damage
960,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,195,2014,2014-12-01,Intoxication
961,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,30357,2014,2014-07-01,Other Material Damage
962,On motorways/freeways,Other accidents involving material damage,10290,2012,2012-06-01,Other Material Damage
963,On motorways/freeways,Other accidents involving material damage,10566,2011,2011-08-01,Other Material Damage
964,Total,Total,172433,2014,2014-02-01,Total
965,On motorways/freeways,Other accidents involving material damage,11724,2021,2021-08-01,Other Material Damage
966,Inside built-up areas,Other accidents involving intoxication,1113,2012,2012-07-01,Intoxication
967,Total,Other accidents involving material damage,184707,2016,2016-05-01,Other Material Damage
968,On motorways/freeways,Total,13165,2023,2023-04-01,Total
969,On motorways/freeways,Other accidents involving material damage,12744,2016,2016-10-01,Other Material Damage
970,On motorways/freeways,Other accidents involving intoxication,73,2015,2015-08-01,Intoxication
971,Total,Total,212914,2019,2019-01-01,Total
972,Inside built-up areas,Other accidents involving intoxication,851,2024,2024-02-01,Intoxication
973,Inside built-up areas,Other accidents involving material damage,114745,2011,2011-01-01,Other Material Damage
974,On motorways/freeways,Other accidents involving material damage,8304,2022,2022-02-01,Other Material Damage
975,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1258,2018,2018-07-01,Material Damage
976,Inside built-up areas,Total,152171,2015,2015-03-01,Total
977,On motorways/freeways,Other accidents involving material damage,12293,2016,2016-07-01,Other Material Damage
978,Total,Total,196665,2014,2014-03-01,Total
979,Total,Other accidents involving intoxication,1416,2013,2013-11-01,Intoxication
980,On motorways/freeways,Personal injury accidents,1619,2022,2022-06-01,Personal Injury
981,On motorways/freeways,Other accidents involving material damage,8963,2012,2012-04-01,Other Material Damage
982,Total,Serious acc. invol. mat.damage in the nearer sense,5984,2011,2011-03-01,Material Damage
983,On motorways/freeways,Total,13549,2015,2015-06-01,Total
984,Inside built-up areas,Other accidents involving material damage,128259,2012,2012-05-01,Other Material Damage
985,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,713,2020,2020-09-01,Material Damage
986,On motorways/freeways,Personal injury accidents,1529,2013,2013-03-01,Personal Injury
987,Total,Personal injury accidents,16211,2022,2022-02-01,Personal Injury
988,Total,Other accidents involving intoxication,1361,2013,2013-05-01,Intoxication
989,Inside built-up areas,Other accidents involving intoxication,997,2013,2013-01-01,Intoxication
990,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,35538,2023,2023-01-01,Other Material Damage
991,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,406,2020,2020-04-01,Material Damage
992,Inside built-up areas,Other accidents involving material damage,114661,2015,2015-02-01,Other Material Damage
993,Total,Other accidents involving intoxication,1271,2021,2021-12-01,Intoxication
994,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5566,2013,2013-11-01,Personal Injury
995,Inside built-up areas,Other accidents involving intoxication,1167,2017,2017-12-01,Intoxication
996,Inside built-up areas,Personal injury accidents,16732,2017,2017-03-01,Personal Injury
997,On motorways/freeways,Other accidents involving material damage,12121,2019,2019-06-01,Other Material Damage
998,Inside built-up areas,Other accidents involving intoxication,1245,2011,2011-07-01,Intoxication
999,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7566,2023,2023-09-01,Personal Injury
1000,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,707,2023,2023-02-01,Material Damage
1001,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2806,2024,2024-07-01,Material Damage
1002,Total,Other accidents involving material damage,122225,2020,2020-04-01,Other Material Damage
1003,Inside built-up areas,Total,109009,2021,2021-02-01,Total
1004,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,167,2022,2022-06-01,Intoxication
1005,Total,Other accidents involving intoxication,1124,2020,2020-05-01,Intoxication
1006,On motorways/freeways,Other accidents involving material damage,9882,2015,2015-03-01,Other Material Damage
1007,Total,Other accidents involving material damage,152781,2013,2013-02-01,Other Material Damage
1008,Inside built-up areas,Other accidents involving intoxication,908,2014,2014-01-01,Intoxication
1009,Total,Personal injury accidents,24822,2014,2014-04-01,Personal Injury
1010,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1123,2020,2020-06-01,Material Damage
1011,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1139,2014,2014-12-01,Material Damage
1012,Total,Total,212533,2014,2014-12-01,Total
1013,Total,Serious acc. invol. mat.damage in the nearer sense,5259,2017,2017-04-01,Material Damage
1014,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,897,2014,2014-10-01,Material Damage
1015,Total,Other accidents involving intoxication,1352,2014,2014-08-01,Intoxication
1016,Inside built-up areas,Total,157626,2014,2014-07-01,Total
1017,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,36260,2017,2017-04-01,Other Material Damage
1018,Total,Other accidents involving intoxication,1493,2011,2011-06-01,Intoxication
1019,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,167,2020,2020-02-01,Intoxication
1020,Inside built-up areas,Total,161268,2021,2021-09-01,Total
1021,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,133,2023,2023-06-01,Intoxication
1022,On motorways/freeways,Total,13156,2015,2015-05-01,Total
1023,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5576,2017,2017-12-01,Personal Injury
1024,Inside built-up areas,Personal injury accidents,23586,2023,2023-06-01,Personal Injury
1025,On motorways/freeways,Other accidents involving intoxication,63,2012,2012-08-01,Intoxication
1026,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3561,2018,2018-10-01,Material Damage
1027,Total,Total,218457,2024,2024-05-01,Total
1028,Total,Other accidents involving material damage,187197,2024,2024-10-01,Other Material Damage
1029,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2901,2024,2024-09-01,Material Damage
1030,Total,Serious acc. invol. mat.damage in the nearer sense,4757,2020,2020-11-01,Material Damage
1031,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1503,2020,2020-12-01,Material Damage
1032,Total,Other accidents involving material damage,162681,2013,2013-01-01,Other Material Damage
1033,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,196,2015,2015-12-01,Intoxication
1034,Total,Serious acc. invol. mat.damage in the nearer sense,4813,2024,2024-06-01,Material Damage
1035,On motorways/freeways,Other accidents involving material damage,9905,2022,2022-04-01,Other Material Damage
1036,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2708,2020,2020-08-01,Material Damage
1037,Total,Other accidents involving intoxication,1236,2024,2024-08-01,Intoxication
1038,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2641,2020,2020-03-01,Material Damage
1039,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,37053,2013,2013-01-01,Other Material Damage
1040,Outside built-up areas (excl. motorways/freeways),Total,42530,2022,2022-07-01,Total
1041,Total,Other accidents involving material damage,189241,2016,2016-06-01,Other Material Damage
1042,Total,Serious acc. invol. mat.damage in the nearer sense,5304,2016,2016-09-01,Material Damage
1043,Inside built-up areas,Personal injury accidents,22183,2018,2018-06-01,Personal Injury
1044,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5664,2012,2012-01-01,Personal Injury
1045,Total,Serious acc. invol. mat.damage in the nearer sense,8992,2012,2012-12-01,Material Damage
1046,Total,Personal injury accidents,19718,2012,2012-12-01,Personal Injury
1047,On motorways/freeways,Personal injury accidents,1420,2020,2020-10-01,Personal Injury
1048,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6943,2012,2012-09-01,Personal Injury
1049,On motorways/freeways,Total,15393,2016,2016-09-01,Total
1050,On motorways/freeways,Personal injury accidents,1718,2022,2022-10-01,Personal Injury
1051,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3094,2024,2024-04-01,Material Damage
1052,Total,Personal injury accidents,21838,2018,2018-12-01,Personal Injury
1053,Total,Other accidents involving material damage,180537,2018,2018-01-01,Other Material Damage
1054,Inside built-up areas,Total,152858,2022,2022-06-01,Total
1055,Outside built-up areas (excl. motorways/freeways),Total,45126,2023,2023-10-01,Total
1056,Inside built-up areas,Total,130203,2011,2011-01-01,Total
1057,Total,Total,170022,2022,2022-02-01,Total
1058,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5974,2013,2013-05-01,Personal Injury
1059,Total,Other accidents involving material damage,181283,2014,2014-12-01,Other Material Damage
1060,Total,Other accidents involving material damage,157073,2011,2011-06-01,Other Material Damage
1061,On motorways/freeways,Total,12058,2016,2016-02-01,Total
1062,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7018,2018,2018-09-01,Personal Injury
1063,On motorways/freeways,Personal injury accidents,1336,2012,2012-04-01,Personal Injury
1064,On motorways/freeways,Personal injury accidents,1535,2013,2013-11-01,Personal Injury
1065,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,927,2014,2014-09-01,Material Damage
1066,Total,Other accidents involving material damage,170196,2023,2023-08-01,Other Material Damage
1067,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,907,2014,2014-01-01,Material Damage
1068,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4799,2020,2020-04-01,Personal Injury
1069,Outside built-up areas (excl. motorways/freeways),Total,37539,2014,2014-08-01,Total
1070,Outside built-up areas (excl. motorways/freeways),Total,39177,2023,2023-03-01,Total
1071,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,853,2016,2016-12-01,Material Damage
1072,Total,Personal injury accidents,30609,2018,2018-05-01,Personal Injury
1073,On motorways/freeways,Personal injury accidents,1780,2015,2015-11-01,Personal Injury
1074,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,163,2011,2011-07-01,Intoxication
1075,Total,Total,217228,2011,2011-10-01,Total
1076,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1324,2016,2016-01-01,Material Damage
1077,Outside built-up areas (excl. motorways/freeways),Total,44635,2015,2015-12-01,Total
1078,Total,Personal injury accidents,20282,2021,2021-05-01,Personal Injury
1079,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,160,2023,2023-02-01,Intoxication
1080,Total,Serious acc. invol. mat.damage in the nearer sense,5035,2024,2024-07-01,Material Damage
1081,Inside built-up areas,Total,163134,2019,2019-04-01,Total
1082,On motorways/freeways,Total,14624,2024,2024-07-01,Total
1083,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1004,2013,2013-05-01,Material Damage
1084,Inside built-up areas,Other accidents involving material damage,127159,2013,2013-09-01,Other Material Damage
1085,Total,Other accidents involving material damage,179801,2011,2011-10-01,Other Material Damage
1086,On motorways/freeways,Personal injury accidents,1752,2013,2013-08-01,Personal Injury
1087,On motorways/freeways,Personal injury accidents,1433,2020,2020-07-01,Personal Injury
1088,Inside built-up areas,Personal injury accidents,10732,2020,2020-12-01,Personal Injury
1089,Total,Total,226634,2017,2017-06-01,Total
1090,Inside built-up areas,Personal injury accidents,13720,2020,2020-01-01,Personal Injury
1091,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1300,2023,2023-11-01,Material Damage
1092,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2966,2019,2019-07-01,Material Damage
1093,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,187,2024,2024-02-01,Intoxication
1094,Inside built-up areas,Personal injury accidents,22389,2016,2016-09-01,Personal Injury
1095,On motorways/freeways,Other accidents involving intoxication,61,2016,2016-08-01,Intoxication
1096,Total,Personal injury accidents,29995,2016,2016-07-01,Personal Injury
1097,Outside built-up areas (excl. motorways/freeways),Total,36002,2015,2015-03-01,Total
1098,On motorways/freeways,Other accidents involving material damage,10621,2016,2016-01-01,Other Material Damage
1099,Outside built-up areas (excl. motorways/freeways),Total,37651,2014,2014-01-01,Total
1100,Inside built-up areas,Total,141900,2022,2022-04-01,Total
1101,Total,Total,204469,2013,2013-12-01,Total
1102,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,789,2021,2021-11-01,Material Damage
1103,On motorways/freeways,Total,14386,2022,2022-09-01,Total
1104,Total,Personal injury accidents,16036,2020,2020-03-01,Personal Injury
1105,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2392,2013,2013-02-01,Material Damage
1106,Inside built-up areas,Other accidents involving material damage,0,2024,2024-12-01,Other Material Damage
1107,Inside built-up areas,Personal injury accidents,20067,2012,2012-06-01,Personal Injury
1108,Inside built-up areas,Total,158718,2022,2022-11-01,Total
1109,Total,Serious acc. invol. mat.damage in the nearer sense,5086,2018,2018-07-01,Material Damage
1110,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1942,2011,2011-11-01,Material Damage
1111,On motorways/freeways,Other accidents involving material damage,10251,2018,2018-02-01,Other Material Damage
1112,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4058,2017,2017-11-01,Material Damage
1113,On motorways/freeways,Other accidents involving intoxication,72,2016,2016-06-01,Intoxication
1114,On motorways/freeways,Other accidents involving material damage,12488,2018,2018-08-01,Other Material Damage
1115,Inside built-up areas,Total,143968,2013,2013-04-01,Total
1116,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1532,2011,2011-08-01,Material Damage
1117,Total,Other accidents involving material damage,173763,2020,2020-02-01,Other Material Damage
1118,On motorways/freeways,Total,14424,2015,2015-07-01,Total
1119,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3098,2017,2017-08-01,Material Damage
1120,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3894,2011,2011-05-01,Material Damage
1121,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,138,2017,2017-04-01,Intoxication
1122,On motorways/freeways,Other accidents involving intoxication,65,2017,2017-06-01,Intoxication
